Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.128348,0.128906,0.128348,0.128348,0.099058,469033600
1980-12-15,0.122210,0.122210,0.121652,0.121652,0.093890,175884800
1980-12-16,0.113281,0.113281,0.112723,0.112723,0.086999,105728000
1980-12-17,0.115513,0.116071,0.115513,0.115513,0.089152,86441600
1980-12-18,0.118862,0.119420,0.118862,0.118862,0.091737,73449600
1980-12-19,0.126116,0.126674,0.126116,0.126116,0.097335,48630400
1980-12-22,0.132254,0.132813,0.132254,0.132254,0.102072,37363200
1980-12-23,0.137835,0.138393,0.137835,0.137835,0.106380,46950400
1980-12-24,0.145089,0.145647,0.145089,0.145089,0.111978,48003200
1980-12-26,0.158482,0.159040,0.158482,0.158482,0.122315,55574400
1980-12-29,0.160714,0.161272,0.160714,0.160714,0.124037,93161600
1980-12-30,0.157366,0.157366,0.156808,0.156808,0.121023,68880000
1980-12-31,0.152902,0.152902,0.152344,0.152344,0.117578,35750400
1981-01-02,0.154018,0.155134,0.154018,0.154018,0.118870,21660800
1981-01-05,0.151228,0.151228,0.150670,0.150670,0.116286,35728000
1981-01-06,0.144531,0.144531,0.143973,0.143973,0.111117,45158400
1981-01-07,0.138393,0.138393,0.137835,0.137835,0.106380,55686400
1981-01-08,0.135603,0.135603,0.135045,0.135045,0.104226,39827200
1981-01-09,0.142299,0.142857,0.142299,0.142299,0.109825,21504000
1981-01-12,0.142299,0.142299,0.141183,0.141183,0.108964,23699200
1981-01-13,0.136719,0.136719,0.136161,0.136161,0.105088,23049600
1981-01-14,0.136719,0.137277,0.136719,0.136719,0.105518,14291200
1981-01-15,0.139509,0.140625,0.139509,0.139509,0.107672,14067200
1981-01-16,0.138951,0.138951,0.138393,0.138393,0.106810,13395200
1981-01-19,0.146763,0.147321,0.146763,0.146763,0.113270,41574400
1981-01-20,0.142857,0.142857,0.142299,0.142299,0.109825,30083200
1981-01-21,0.145089,0.146205,0.145089,0.145089,0.111978,15904000
1981-01-22,0.146763,0.147879,0.146763,0.146763,0.113270,35548800
1981-01-23,0.146763,0.147321,0.146205,0.146205,0.112840,11222400
1981-01-26,0.144531,0.144531,0.143973,0.143973,0.111117,24640000
1981-01-27,0.143973,0.143973,0.142857,0.142857,0.110256,23699200
1981-01-28,0.138951,0.138951,0.138393,0.138393,0.106810,28156800
1981-01-29,0.133929,0.133929,0.133371,0.133371,0.102934,43904000
1981-01-30,0.127232,0.127232,0.126116,0.126116,0.097335,46188800
1981-02-02,0.119420,0.119420,0.118862,0.118862,0.091737,23766400
1981-02-03,0.123326,0.123884,0.123326,0.123326,0.095182,19152000
1981-02-04,0.127790,0.128348,0.127790,0.127790,0.098627,27865600
1981-02-05,0.127790,0.128906,0.127790,0.127790,0.098627,7929600
1981-02-06,0.128348,0.128906,0.128348,0.128348,0.099058,13865600
1981-02-09,0.122768,0.122768,0.121652,0.121652,0.093890,16755200
1981-02-10,0.121652,0.122210,0.121652,0.121652,0.093890,18345600
1981-02-11,0.118304,0.118304,0.117746,0.117746,0.090875,13843200
1981-02-12,0.117188,0.117188,0.116629,0.116629,0.090013,14560000
1981-02-13,0.114955,0.114955,0.113839,0.113839,0.087860,11155200
1981-02-17,0.116629,0.117188,0.116629,0.116629,0.090013,12275200
1981-02-18,0.121652,0.122768,0.121652,0.121652,0.093890,19241600
1981-02-19,0.114955,0.114955,0.114397,0.114397,0.088290,22310400
1981-02-20,0.108817,0.108817,0.108259,0.108259,0.083553,24371200
1981-02-23,0.109933,0.110491,0.109933,0.109933,0.084845,14112000
1981-02-24,0.107143,0.107143,0.106027,0.106027,0.081831,16979200
1981-02-25,0.112723,0.113281,0.112723,0.112723,0.086999,19488000
1981-02-26,0.114397,0.114955,0.114397,0.114397,0.088290,10841600
1981-02-27,0.118304,0.119420,0.118304,0.118304,0.091306,14761600
1981-03-02,0.118862,0.119420,0.118862,0.118862,0.091737,11760000
1981-03-03,0.117746,0.117746,0.117188,0.117188,0.090445,16172800
1981-03-04,0.116629,0.116629,0.116071,0.116071,0.089582,13708800
1981-03-05,0.116071,0.116071,0.115513,0.115513,0.089152,5376000
1981-03-06,0.115513,0.115513,0.114397,0.114397,0.088290,11603200
1981-03-09,0.106027,0.106027,0.105469,0.105469,0.081400,15321600
1981-03-10,0.101004,0.101004,0.100446,0.100446,0.077523,28380800
1981-03-11,0.097656,0.097656,0.096540,0.096540,0.074509,29859200
1981-03-12,0.100446,0.101004,0.100446,0.100446,0.077523,59248000
1981-03-13,0.099888,0.099888,0.099330,0.099330,0.076662,231302400
1981-03-16,0.103237,0.104353,0.103237,0.103237,0.079677,37228800
1981-03-17,0.108259,0.109375,0.108259,0.108259,0.083553,43747200
1981-03-18,0.114955,0.116071,0.114955,0.114955,0.088721,36937600
1981-03-19,0.114397,0.114397,0.113839,0.113839,0.087860,37811200
1981-03-20,0.114955,0.116071,0.114955,0.114955,0.088721,14604800
1981-03-23,0.119420,0.120536,0.119420,0.119420,0.092167,22019200
1981-03-24,0.119420,0.119420,0.118862,0.118862,0.091737,28156800
1981-03-25,0.117746,0.117746,0.116629,0.116629,0.090013,7056000
1981-03-26,0.114955,0.114955,0.114397,0.114397,0.088290,12275200
1981-03-27,0.111049,0.111049,0.110491,0.110491,0.085276,12252800
1981-03-30,0.110491,0.111607,0.110491,0.110491,0.085276,9900800
1981-03-31,0.110491,0.110491,0.109375,0.109375,0.084415,15993600
1981-04-01,0.108817,0.108817,0.108259,0.108259,0.083553,34070400
1981-04-02,0.117746,0.118304,0.117746,0.117746,0.090875,31404800
1981-04-03,0.118304,0.118862,0.118304,0.118304,0.091306,16486400
1981-04-06,0.116629,0.116629,0.116071,0.116071,0.089582,22803200
1981-04-07,0.115513,0.115513,0.114955,0.114955,0.088721,10684800
1981-04-08,0.120536,0.121652,0.120536,0.120536,0.093029,21952000
1981-04-09,0.122768,0.123326,0.122768,0.122768,0.094751,12499200
1981-04-10,0.124442,0.125000,0.124442,0.124442,0.096043,33465600
1981-04-13,0.124442,0.125000,0.124442,0.124442,0.096043,16060800
1981-04-14,0.124442,0.125000,0.124442,0.124442,0.096043,6652800
1981-04-15,0.118862,0.118862,0.118304,0.118304,0.091306,34048000
1981-04-16,0.112165,0.112165,0.111607,0.111607,0.086137,23878400
1981-04-20,0.114955,0.115513,0.114955,0.114955,0.088721,35347200
1981-04-21,0.122768,0.123326,0.122768,0.122768,0.094751,28537600
1981-04-22,0.127232,0.127790,0.127232,0.127232,0.098196,18995200
1981-04-23,0.130580,0.131138,0.130580,0.130580,0.100780,58016000
1981-04-24,0.130580,0.130580,0.129464,0.129464,0.099919,35056000
1981-04-27,0.128906,0.128906,0.128348,0.128348,0.099058,38528000
1981-04-28,0.126674,0.126674,0.126116,0.126116,0.097335,32188800
1981-04-29,0.125000,0.125000,0.124442,0.124442,0.096043,13641600
1981-04-30,0.126674,0.127790,0.126674,0.126674,0.097766,12611200
1981-05-01,0.126674,0.127790,0.126674,0.126674,0.097766,16553600
1981-05-04,0.126674,0.126674,0.126116,0.126116,0.097335,14448000
1981-05-05,0.126116,0.126116,0.125558,0.125558,0.096904,17539200
1981-05-06,0.122768,0.122768,0.122210,0.122210,0.094320,18950400
1981-05-07,0.123884,0.124442,0.123884,0.123884,0.095612,9363200
1981-05-08,0.125000,0.125558,0.125000,0.125000,0.096474,7907200
1981-05-11,0.122768,0.122768,0.122210,0.122210,0.094320,11939200
1981-05-12,0.122210,0.123884,0.122210,0.122210,0.094320,4256000
1981-05-13,0.122210,0.123326,0.121652,0.121652,0.093890,4905600
1981-05-14,0.121094,0.121094,0.119978,0.119978,0.092598,4928000
