work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,SE,FT,AI Engineer,202730,USD,202730,US,0,US,M
2024,SE,FT,AI Engineer,92118,USD,92118,US,0,US,M
2024,SE,FT,Data Engineer,130500,USD,130500,US,0,US,M
2024,SE,FT,Data Engineer,96000,USD,96000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,190000,USD,190000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,160000,USD,160000,US,0,US,M
2024,MI,FT,ML Engineer,400000,USD,400000,US,0,US,M
2024,MI,FT,ML Engineer,65000,USD,65000,US,0,US,M
2024,EN,FT,Data Analyst,101520,USD,101520,US,0,US,M
2024,EN,FT,Data Analyst,45864,USD,45864,US,0,US,M
2024,SE,FT,Data Engineer,172469,USD,172469,US,0,US,M
2024,SE,FT,Data Engineer,114945,USD,114945,US,0,US,M
2024,EX,FT,NLP Engineer,200000,USD,200000,US,0,US,M
2024,EX,FT,NLP Engineer,150000,USD,150000,US,0,US,M
2024,MI,FT,Data Scientist,156450,USD,156450,US,100,US,M
2024,MI,FT,Data Scientist,119200,USD,119200,US,100,US,M
2024,SE,FT,Data Analyst,170000,USD,170000,US,0,US,M
2024,SE,FT,Data Analyst,130000,USD,130000,US,0,US,M
2024,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L
2024,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L
2024,MI,FT,Data Manager,128000,USD,128000,US,0,US,M
2024,MI,FT,Data Manager,81500,USD,81500,US,0,US,M
2024,SE,FT,Data Architect,93838,USD,93838,US,0,US,M
2024,SE,FT,Data Architect,69535,USD,69535,US,0,US,M
2024,EN,FT,Data Analyst,75000,USD,75000,US,0,US,M
2024,EN,FT,Data Analyst,65000,USD,65000,US,0,US,M
2024,MI,FT,Data Operations Manager,150000,USD,150000,US,0,US,M
2024,MI,FT,Data Operations Manager,125000,USD,125000,US,0,US,M
2024,MI,FT,Research Scientist,260570,USD,260570,US,0,US,M
2024,MI,FT,Research Scientist,167030,USD,167030,US,0,US,M
2024,EN,FT,Data Engineer,120000,USD,120000,US,0,US,M
2024,EN,FT,Data Engineer,100000,USD,100000,US,0,US,M
2024,SE,FT,Data Engineer,190000,USD,190000,US,100,US,M
2024,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M
2024,SE,FT,Data Analyst,174000,USD,174000,US,100,US,M
2024,SE,FT,Data Analyst,116000,USD,116000,US,100,US,M
2024,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
2024,MI,FT,Data Analyst,80000,USD,80000,US,0,US,M
2024,MI,FT,Data Analyst,145000,USD,145000,US,0,US,M
2024,MI,FT,Data Analyst,95000,USD,95000,US,0,US,M
2024,MI,FT,Data Scientist,120000,USD,120000,AU,0,AU,S
2024,MI,FT,Data Scientist,70000,USD,70000,AU,0,AU,S
